Year,Rank,Name,Age,Exp,G,Rsh,RshYd,Y/Rsh,RshTD,Rec,RecYd,RecTD,FP/G,FantPt,Team
1996,1,Terry Allen,28.0,6.0,16,347,1353,3.9,21,0,194,0,17.5,280.7,WAS
1996,2,Terrell Davis,24.0,2.0,16,345,1538,4.5,13,0,310,2,17.2,274.8,DEN
1996,3,Ricky Watters,27.0,5.0,16,353,1411,4.0,13,0,444,0,16.5,263.5,PHI
1996,4,Curtis Martin,23.0,2.0,16,315,1149,3.6,14,0,333,3,15.6,250.2,NE
1996,5,Barry Sanders,28.0,8.0,16,307,1553,5.1,11,0,147,0,14.8,236.0,DET
1996,6,Emmitt Smith,27.0,7.0,15,327,1204,3.7,12,0,249,3,15.7,235.3,DAL
1996,7,Jerome Bettis,24.0,4.0,16,320,1431,4.5,11,0,122,0,13.8,221.3,PIT
1996,8,Eddie George,23.0,1.0,16,335,1368,4.1,8,0,182,0,12.7,203.0,HOU
1996,9,Karim Abdul-Jabbar,22.0,1.0,16,307,1116,3.6,11,0,139,0,12.0,191.5,MIA
1996,10,Jamal Anderson,24.0,3.0,16,232,1055,4.5,5,0,473,1,11.8,188.8,ATL
1996,11,Thurman Thomas,30.0,9.0,15,281,1033,3.7,8,0,254,0,11.8,176.7,BUF
1996,12,Adrian Murrell,26.0,4.0,16,301,1249,4.1,6,0,81,1,10.9,175.0,NYJ
1996,13,Larry Centers,28.0,7.0,16,116,425,3.7,2,0,766,7,10.8,173.1,ARI
1996,14,Marcus Allen,36.0,15.0,16,204,830,4.1,9,0,270,0,10.2,164.0,KC
1996,15,Anthony Johnson,29.0,7.0,14,300,1122,3.7,4,0,190,0,11.1,155.2,CAR
1996,16,James Stewart,25.0,2.0,12,182,672,3.7,8,0,165,2,12.0,143.7,JAX
1996,17,Marshall Faulk,23.0,3.0,13,198,587,3.0,7,0,428,0,11.0,143.5,IND
1996,18,Chris Warren,28.0,7.0,14,203,855,4.2,5,0,273,0,10.2,142.8,SEA
1996,19,Dorsey Levens,26.0,3.0,15,121,566,4.7,5,0,224,5,9.3,139.0,GB
1996,20,Raymont Harris,26.0,3.0,12,194,748,3.9,4,0,296,1,11.2,134.4,CHI
1996,21,Leonard Russell,27.0,6.0,15,219,713,3.3,7,0,180,0,8.8,131.3,SD
1996,22,Bam Morris,24.0,3.0,10,172,737,4.3,4,0,242,1,12.8,127.9,BAL
1996,23,Mike Alstott,23.0,1.0,15,94,374,4.0,3,0,537,3,8.5,127.1,TB
1996,24,Edgar Bennett,27.0,5.0,16,222,899,4.0,2,0,176,1,7.8,125.5,GB
1996,25,Terry Kirby,26.0,4.0,13,134,559,4.2,3,0,439,1,9.5,123.8,SF
1996,26,Lamar Smith,26.0,3.0,15,153,680,4.4,8,0,58,0,8.1,121.8,SEA
1996,27,Earnest Byner,34.0,13.0,14,159,634,4.0,4,0,270,1,8.6,120.4,BAL
1996,28,Napoleon Kaufman,23.0,2.0,16,150,874,5.8,1,0,143,1,7.1,113.7,OAK
1996,29,Harold Green,28.0,7.0,15,127,523,4.1,4,0,241,1,7.1,106.4,STL
1996,30,LeShon Johnson,25.0,3.0,14,141,635,4.5,3,0,176,1,7.5,105.1,ARI
1996,31,Garrison Hearst,25.0,3.0,16,225,847,3.8,0,0,131,1,6.5,103.8,CIN
1996,32,Greg Hill,24.0,3.0,15,135,645,4.8,4,0,60,1,6.7,100.5,KC
1996,33,Ki-Jana Carter,23.0,1.0,15,91,264,2.9,8,0,169,1,6.5,97.3,CIN
1996,34,Darick Holmes,25.0,2.0,16,189,571,3.0,4,0,102,1,6.1,97.3,BUF
1996,35,Rodney Hampton,27.0,7.0,15,254,827,3.3,1,0,82,0,6.5,96.9,NYG
1996,36,Derrick Fenner,29.0,8.0,13,66,245,3.7,4,0,241,4,7.4,96.6,OAK
1996,37,Lawrence Phillips,21.0,1.0,15,193,632,3.3,4,0,28,1,6.4,96.0,STL
1996,38,Kimble Anders,30.0,6.0,15,54,201,3.7,2,0,504,2,6.3,94.5,KC
1996,39,Robert Smith,24.0,4.0,8,162,692,4.3,3,0,39,0,11.4,91.1,MIN
1996,40,Terrell Fletcher,23.0,2.0,16,77,281,3.6,0,0,476,2,5.5,87.7,SD
1996,41,Mario Bates,23.0,3.0,14,164,584,3.6,4,0,44,0,6.2,86.8,NO
1996,42,Leroy Hoard,28.0,7.0,9,124,492,4.0,3,0,133,0,8.9,80.5,MIN
1996,43,Errict Rhett,26.0,3.0,9,176,539,3.1,3,0,11,1,8.8,79.0,TB
1996,44,Ronnie Harmon,32.0,11.0,14,29,131,4.5,1,0,475,2,5.6,78.6,HOU
1996,45,Rashaan Salaam,22.0,2.0,11,143,496,3.5,3,0,44,1,7.1,78.0,CHI
1996,46,Ray Zellars,23.0,2.0,9,121,472,3.9,4,0,45,0,8.4,75.7,NO
1996,47,Natrone Means,24.0,4.0,13,152,507,3.3,2,0,45,1,5.6,73.2,JAX
1996,48,Amp Lee,25.0,5.0,15,51,161,3.2,0,0,410,2,4.6,69.1,MIN
