Year,Rank,Name,Age,Exp,G,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,Team
2000,1,Jim Kleinsasser,23.0,2.0,9,8,68,8.5,0,2.1,19.1,MIN
2001,1,Jim Kleinsasser,24.0,3.0,10,21,162,7.7,0,5.0,50.4,MIN
2001,2,Ernie Conwell,29.0,6.0,6,15,148,9.9,1,7.4,44.6,STL
2001,3,Tony Gonzalez,25.0,5.0,2,12,120,10.0,2,19.2,38.5,KC
2001,4,Frank Wycheck,30.0,9.0,1,7,100,14.3,1,23.9,23.9,TEN
2001,5,Ken Dilger,30.0,7.0,1,4,38,9.5,0,13.4,13.4,IND
2001,6,Patrick Hape,27.0,5.0,1,1,1,1.0,1,7.1,7.1,DEN
2002,1,Todd Heap,22.0,2.0,16,68,836,12.3,6,12.0,191.4,BAL
2002,2,Tony Gonzalez,26.0,6.0,16,63,773,12.3,7,11.4,182.3,KC
2002,3,Jeremy Shockey,22.0,1.0,15,74,894,12.1,2,11.7,175.4,NYG
2002,4,Shannon Sharpe,34.0,13.0,12,61,686,11.2,3,12.3,147.6,DEN
2002,5,Bubba Franks,24.0,3.0,15,54,442,8.2,7,9.3,140.2,GB
2002,6,Billy Miller,25.0,4.0,14,51,613,12.0,3,9.3,130.3,HOU
2002,7,Marcus Pollard,30.0,8.0,15,43,478,11.1,6,8.5,126.8,IND
2002,8,Kyle Brady,30.0,8.0,15,43,461,10.7,4,7.5,113.1,JAX
2002,9,Randy McMichael,23.0,1.0,15,39,485,12.4,4,7.5,112.3,MIA
2002,10,Alge Crumpler,25.0,2.0,15,36,455,12.6,5,7.4,111.5,ATL
2002,11,Itula Mili,29.0,5.0,13,43,508,11.8,2,8.1,105.8,SEA
2002,12,Stephen Alexander,27.0,5.0,12,45,510,11.3,1,8.5,102.0,SD
2002,13,Chad Lewis,31.0,6.0,13,42,398,9.5,3,7.7,99.8,PHI
2002,14,Ernie Conwell,30.0,7.0,15,34,419,12.3,2,6.5,96.9,STL
2002,15,Christian Fauria,31.0,8.0,14,27,253,9.4,7,6.7,94.3,NE
2002,16,Frank Wycheck,31.0,10.0,13,40,346,8.7,2,6.7,86.6,TEN
2002,17,Freddie Jones,28.0,6.0,13,44,358,8.1,1,6.6,85.8,ARI
2002,18,Doug Jolley,23.0,1.0,11,32,409,12.8,2,7.7,84.9,OAK
2002,19,Jim Kleinsasser,25.0,4.0,14,37,393,10.6,1,6.0,84.0,MIN
2002,20,Anthony Becht,25.0,3.0,14,28,243,8.7,5,5.9,82.3,NYJ
2002,21,Ken Dilger,31.0,8.0,13,34,329,9.7,2,6.1,78.9,TB
2002,22,Mikhael Ricks,28.0,5.0,14,27,339,12.6,3,5.6,78.9,DET
2002,23,Byron Chamberlain,31.0,8.0,12,34,389,11.4,0,6.1,72.9,MIN
2002,24,Jerramy Stevens,23.0,1.0,11,26,252,9.7,3,6.3,69.2,SEA
2002,25,Eric Johnson,23.0,2.0,8,36,321,8.9,0,8.5,68.1,SF
2002,26,Wesley Walls,36.0,14.0,11,19,241,12.7,4,6.1,67.1,CAR
2002,27,Jay Riemersma,29.0,6.0,15,32,350,10.9,0,4.5,67.0,BUF
2002,28,Pete Mitchell,31.0,8.0,12,25,246,9.8,2,5.1,61.6,JAX
2002,29,Mark Campbell,27.0,4.0,12,25,179,7.2,3,5.1,60.9,CLE
2002,30,Matt Schobel,24.0,1.0,14,27,212,7.9,2,4.3,60.2,CIN
2002,31,Tony McGee,31.0,10.0,11,23,294,12.8,1,5.3,58.4,DAL
2002,32,John Davis,29.0,6.0,9,20,193,9.7,3,6.4,57.3,CHI
2002,33,Rickey Dudley,30.0,7.0,11,16,192,12.0,3,4.8,53.2,TB
2002,34,Roland Williams,27.0,5.0,13,27,213,7.9,0,3.7,48.3,OAK
2002,35,Dwayne Carswell,30.0,9.0,8,21,189,9.0,1,5.7,45.9,DEN
2002,36,Dan Campbell,26.0,4.0,12,22,175,8.0,1,3.8,45.5,NYG
2002,37,Dave Moore,33.0,11.0,8,16,141,8.8,2,5.3,42.1,BUF
2002,38,Josh Norman,22.0,1.0,7,16,201,12.6,1,6.0,42.1,SD
2002,39,Boo Williams,23.0,2.0,8,13,143,11.0,2,4.9,39.3,NO
2002,40,Dustin Lyman,26.0,3.0,5,14,121,8.6,2,7.6,38.1,CHI
2002,41,Zeron Flemister,26.0,3.0,7,10,146,14.6,2,5.2,36.6,WAS
2002,42,Steve Bush,28.0,6.0,10,18,121,6.7,1,3.6,36.1,ARI
2002,43,Daniel Graham,24.0,1.0,9,15,150,10.0,1,4.0,36.0,NE
2002,44,Jeff Thomason,33.0,11.0,7,10,128,12.8,2,5.0,34.8,PHI
2002,45,Steve Heiden,26.0,3.0,10,17,105,6.2,1,3.4,33.5,CLE
2002,46,Cameron Cleeland,27.0,5.0,8,16,112,7.0,1,4.2,33.2,NE
2002,47,James Whalen,25.0,1.0,9,17,152,8.9,0,3.6,32.2,DAL
2002,48,Kris Mangum,29.0,6.0,11,16,159,9.9,0,2.9,31.9,CAR
2002,49,Jed Weaver,26.0,4.0,5,6,75,12.5,3,6.3,31.5,MIA
2002,50,Erron Kinney,25.0,3.0,9,13,173,13.3,0,3.4,30.3,TEN
2002,51,Reggie Kelly,25.0,4.0,10,14,162,11.6,0,3.0,30.2,ATL
2002,52,Terry Jones,23.0,1.0,7,11,106,9.6,1,3.9,27.6,BAL
2002,53,Tyrone Davis,30.0,8.0,6,9,107,11.9,1,4.3,25.7,GB
2002,54,Mark Bruener,30.0,8.0,8,13,66,5.1,1,3.2,25.6,PIT
2002,55,David Sloan,30.0,8.0,11,12,127,10.6,0,2.2,24.7,NO
2002,56,Brandon Manumaleuna,22.0,2.0,5,8,106,13.3,1,4.9,24.6,STL
2002,57,John Gilmore,23.0,1.0,5,10,130,13.0,0,4.6,23.0,CHI
2002,58,Jermaine Wiggins,27.0,3.0,6,10,62,6.2,1,3.7,22.2,
2002,59,Patrick Hape,28.0,6.0,5,5,19,3.8,2,3.8,18.9,DEN
2002,60,Walter Rasby,30.0,9.0,6,9,85,9.4,0,2.9,17.5,WAS
2002,61,David Martin,23.0,2.0,4,8,33,4.1,1,4.3,17.3,GB
2002,62,John Jones,27.0,2.0,5,6,47,7.8,1,3.3,16.7,BAL
2002,63,Justin Swift,27.0,3.0,7,10,63,6.3,0,2.3,16.3,SF
2002,64,Jerame Tuman,26.0,4.0,4,4,63,15.8,1,4.1,16.3,PIT
2002,65,Joe Davenport,26.0,1.0,6,8,70,8.8,0,2.5,15.0,IND
2002,66,Jabari Holloway,24.0,1.0,6,7,73,10.4,0,2.4,14.3,HOU
2002,67,Hunter Goodwin,30.0,7.0,3,4,20,5.0,1,4.0,12.0,MIN
2002,68,Brian Kozlowski,32.0,9.0,4,6,59,9.8,0,3.0,11.9,ATL
2002,69,Aaron Shea,26.0,3.0,4,7,49,7.0,0,3.0,11.9,CLE
2002,70,Marcellus Rivers,24.0,2.0,2,2,25,12.5,1,5.2,10.5,NYG
2002,71,Darnell Sanders,23.0,1.0,2,2,23,11.5,1,5.2,10.3,CLE
2002,72,Fred Baxter,31.0,10.0,3,5,51,10.2,0,3.4,10.1,CHI
2002,73,John Owens,22.0,1.0,4,5,49,9.8,0,2.5,9.9,DET
2002,74,Mike Roberg,25.0,1.0,2,2,17,8.5,1,4.8,9.7,IND
2002,75,Billy Baber,23.0,1.0,2,2,10,5.0,1,4.5,9.0,KC
2002,76,Shad Meier,24.0,2.0,1,1,17,17.0,1,8.7,8.7,TEN
2002,77,Ryan Hannam,22.0,1.0,1,1,16,16.0,1,8.6,8.6,SEA
2002,78,Desmond Clark,25.0,4.0,2,2,42,21.0,0,3.1,6.2,MIA
2002,79,Todd Yoder,24.0,3.0,2,2,26,13.0,0,2.3,4.6,TB
2002,80,Justin Peelle,23.0,1.0,3,3,15,5.0,0,1.5,4.5,SD
