Year,Rank,Name,Age,Exp,G,Rsh,RshYd,RshTD,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,Team
1996,1,Eric Metcalf,28.0,8.0,3,3,8,0,0,104,,1,5.7,17.2,ATL
1996,2,Anthony Carter,36.0,12.0,6,11,43,0,0,56,,0,1.6,9.9,CHI
1996,3,Mercury Hayes,23.0,-3.0,2,2,7,0,0,24,,0,1.6,3.1,NO
1997,1,Anthony Carter,37.0,13.0,5,8,56,0,10,43,4.3,0,4.0,19.9,CHI
1999,1,Dwight Stone,35.0,13.0,2,2,27,0,0,0,,0,1.4,2.7,NYJ
2000,1,Terrell Owens,27.0,5.0,3,3,11,0,38,555,14.6,4,39.5,118.6,SF
2000,2,Peter Warrick,23.0,1.0,10,16,148,2,30,339,11.3,3,10.9,108.7,CIN
2000,3,Joe Horn,28.0,5.0,6,6,18,0,30,509,17.0,3,16.8,100.7,NO
2000,4,Rod Smith,30.0,6.0,4,6,99,1,17,363,21.4,4,23.3,93.2,DEN
2000,5,Amani Toomer,26.0,5.0,4,5,91,1,22,325,14.8,3,21.9,87.6,NYG
2000,6,Randy Moss,23.0,3.0,3,3,5,0,19,385,20.3,4,27.3,82.0,MIN
2000,7,James Thrash,25.0,4.0,7,10,82,0,28,306,10.9,1,10.4,72.8,WAS
2000,8,Raghib Ismail,31.0,8.0,6,8,73,0,21,298,14.2,1,10.7,64.1,DAL
2000,9,Derrick Alexander,29.0,7.0,3,3,45,0,18,306,17.0,0,17.7,53.1,KC
2000,10,Charles Johnson,28.0,7.0,5,5,18,0,15,180,12.0,3,10.6,52.8,PHI
2000,11,Tim Brown,34.0,13.0,3,3,12,0,20,235,11.8,1,16.9,50.7,OAK
2000,12,Ike Hilliard,24.0,4.0,3,3,19,0,10,195,19.5,3,16.5,49.4,NYG
2000,13,Jacquez Green,24.0,3.0,4,5,13,0,18,272,15.1,0,11.6,46.5,TB
2000,14,Eric Moulds,27.0,5.0,2,2,24,0,15,205,13.7,1,22.0,43.9,BUF
2000,15,Az-Zahir Hakim,23.0,3.0,4,5,19,0,15,206,13.7,1,10.9,43.5,STL
2000,16,Antonio Freeman,28.0,6.0,2,2,5,0,11,131,11.9,3,21.3,42.6,GB
